Samskrit Word	Samskrit_GenderTelugu	Telugu_Word	Telugu _Gender																						
janwu	puM	janwuvu	napuM																						
japa	puM	japamu	napuM																						
JaRa	napuM:puM	cepa^adavi	napuM:napuM																						
jarA	swrI	musaliwanamu^muximi	napuM																						
jAwi	swrI	kulamu^puttuka^sAmAnyamu	napuM																						
jaya	napuM:puM:swrI	jayamu	napuM:napuM:napuM																						
jayaxraWa	puM	jayaxraWudu	puM																						
jFAna	napuM	jFAnamu	napuM																						
jFAnin	puM	jFAni	napuM																						
jijFAsu	puM	welusukonu_icCa_kalavAdu	puM																						
jIrNa	napuM:puM:swrI	jIrNa^vqxXudu^SiWilamu^pAwaxi	napuM:napuM:napuM																						
jIva	napuM:puM	jIvamu^prANaM	napuM:napuM																						
jIvana	napuM	jIvanamu^brawuku_weruvu	napuM																						
juRta	napuM:puM	saMwoRaM^yukwamu	napuM:napuM																						
jvalana	napuM:puM	prakAsiMcunaxi^maMta	napuM:napuM																						
jvara	puM	jvaraM	napuM																						
jyAyas	napuM:puM	SreRTudu^agrajudu^vqxXudu	puM:puM																						
jyAyasI	swrI	SreRTurAlu^agrajurAlu^vqxXurAlu	swrI																						
jyowis	napuM:puM	jyowi^prakASamu^agni^velugu	napuM:napuM																						
Ka	puM	AkASamu	napuM																						
kAFcana	napuM	koMceM	napuM																						
kAfkRin	puM	kAfkRiMcuvAdu	puM																						
kAla	napuM:puM	kAlamu^samayamu	napuM																						
kalevara	napuM:puM	kalevaraM^SarIraM	napuM:napuM																						
kalila	napuM:puM	aCexya^xattamEna	napuM:napuM																						
kalmaRA	swrI	kalmaRamu^pApamu	napuM																						
kalmaRa	napuM:puM	kalmaRaM^malinaM	napuM:napuM																						
kalpa	puM:napuM	vexAfgaM	napuM:napuM																						
kRaya	puM:napuM	nASamu^kRayamu	napuM:napuM																						
kalyANa	puM:napuM	maMgalYapraxaM^lABaxAyakaM	napuM:napuM																						
kqw	puM:napuM:swrI	ceyadaM	napuM:napuM:napuM																						
